id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
38321579,Comfy and quiet,172223381,Diana,EIGHTH WARD,42.65085,-73.80239,Private room,57,1,311,05-05-2024,5.49,2,121,103
39093517,Secure 5-Star Oasis with Purified Air & Parking,299638115,Dominick And Flerida,SIXTH WARD,42.65507,-73.76138,Entire home/apt,151,4,39,20-04-2024,0.73,3,340,4
39698576,Spacious Designer 1-Bed Near Albany Med,188679144,Elizabeth,NINTH WARD,42.65483,-73.78033,Entire home/apt,,5,23,22-09-2023,0.42,8,339,1
39836487,Completely Renovated Center Square Top FL Studio,306508346,Adem,SIXTH WARD,42.65547,-73.7651,Entire home/apt,78,1,258,04-05-2024,4.71,2,55,71
39873571,Lovely 2 bedroom apartment in downtown Albany.,306508346,Adem,THIRD WARD,42.65682,-73.76298,Entire home/apt,78,1,139,30-08-2023,6.06,2,202,33
40491172,"Renovated, private parking,location, washer dryer!",152762198,Allen,THIRTEENTH WARD,42.66827,-73.79231,Entire home/apt,98,3,106,28-04-2024,1.97,9,336,20
40828178,Comfortable! One Bedroom A/C Apartment Queen Bed,47491906,Lloyd,FOURTH WARD,42.67773,-73.73899,Entire home/apt,113,1,166,07-08-2023,3.16,1,282,4
40897436,Historic Home Away from Home,50283047,Ellen,SIXTH WARD,42.65592,-73.76259,Entire home/apt,100,7,26,27-11-2023,0.49,1,143,4
41319631,Modern Carriage in the Heart of Albany,59864591,Daniel,SIXTH WARD,42.65115,-73.7668,Entire home/apt,92,30,4,06-01-2023,0.11,1,93,0
42009788,Center Square Sanctuary: Private 2-Bedroom Gem,188679144,Elizabeth,SIXTH WARD,42.65315,-73.76202,Entire home/apt,,7,22,30-12-2023,0.43,8,302,6
42092736,Private Bedroom in Cozy Ranch Home,41400541,John,FOURTEENTH WARD,42.66403,-73.81446,Private room,45,1,153,02-05-2024,2.98,1,160,55
42391372,Central Albany Apartment: Walk to State Capitol!,121680792,Evolve,SECOND WARD,42.6469,-73.75761,Entire home/apt,,3,27,27-10-2022,0.57,4,356,0
42567833,Homey,339085327,Arkady,NINTH WARD,42.65567,-73.7854,Entire home/apt,,70,0,,,1,365,0
42763847,Charming dog friendly home with private yard!,649068,Anthony,FIRST WARD,42.63876,-73.78535,Entire home/apt,147,1,94,10-04-2024,1.91,1,17,21
43208391,Historic Downtown Albany Apartment,272907816,Angela,SECOND WARD,42.64453,-73.75426,Entire home/apt,120,2,85,22-04-2024,1.93,4,73,18
43459803,Luxury & Safety in Center Square + Parking,299638115,Dominick And Flerida,SIXTH WARD,42.65556,-73.76205,Entire home/apt,175,4,16,02-04-2024,0.41,3,330,5
43736299,*The Blue House* Incredible 3 Bedroom Apartment,349460842,Scott,TENTH WARD,42.66257,-73.78281,Entire home/apt,158,1,113,08-04-2024,2.42,5,358,25
43955950,* Quaint home located in residential neighborhood*,232967878,Diana,EIGHTH WARD,42.64383,-73.78926,Entire home/apt,245,2,73,21-04-2024,1.56,22,69,24
44180048,Historic Queen Studio Across from Washington Park!,355777684,Lloyd,SIXTH WARD,42.65935,-73.76805,Entire home/apt,124,1,332,09-04-2024,7.17,3,322,59
44265426,Parkside Queen 1 Bedroom (1800's) Brownstone!,355777684,Lloyd,SIXTH WARD,42.66006,-73.76966,Entire home/apt,132,1,291,28-04-2024,6.35,3,244,51
44450012,Spacious upscale luxury apartment with huge yard,353498132,Michael,EIGHTH WARD,42.64808,-73.7996,Entire home/apt,135,13,23,16-03-2024,0.51,5,277,3
45024912,Private Apt Queen 1 Bed Sanctuary with many Extras,362851072,Elsa,FOURTEENTH WARD,42.66132,-73.7956,Entire home/apt,136,1,123,13-04-2024,2.73,1,364,21
45074220,"Historic Albany, Loft Apartment",272907816,Angela,SECOND WARD,42.64454,-73.75369,Entire home/apt,97,2,30,28-02-2024,0.93,4,26,5
45313545,Adorable & Trendy 1 Bd Apt Minutes to Albany Med!,165293595,Kori,NINTH WARD,42.6545,-73.78223,Entire home/apt,82,2,116,21-04-2024,2.68,1,126,41
45528939,UNIQUE Gem in HEART of Albany ★ Spiral Staircase,47625981,Linda,SECOND WARD,42.64801,-73.75668,Entire home/apt,120,1,89,21-04-2024,2.23,15,342,24
45529316,WOW ★ Bright Apt ★ PRIME downtown Walk Everywhere,47625981,Linda,SECOND WARD,42.64821,-73.75793,Entire home/apt,120,1,101,16-04-2024,2.53,15,330,23
45529447,★ 2 BEDROOM / 1 BATH TRENDY Apt ★ Downtown Albany,47625981,Linda,SECOND WARD,42.64713,-73.75628,Entire home/apt,140,1,123,21-04-2024,3.1,15,341,21
45804322,Home in Heart of Pine Hills,124848440,Emilie,TENTH WARD,42.66137,-73.7904,Private room,100,1,146,04-05-2024,3.38,1,81,57
46894493,Our Antique Bungalow,69789449,Dan,NINTH WARD,42.65311,-73.78525,Entire home/apt,190,1,211,01-05-2024,5.34,1,264,57
47334913,"Newly renovated,Amazing Location,private parking",152762198,Allen,THIRTEENTH WARD,42.66646,-73.79184,Entire home/apt,94,3,64,11-04-2024,1.61,9,151,19
47345872,Bright large 1 bdr loft in Center Sq -free parking,19648678,Terra,SIXTH WARD,42.65345,-73.76663,Entire home/apt,126,1,49,04-05-2024,1.24,4,305,19
47408047,"Quiet cozy apartment, private laundry, great spot!",152762198,Allen,FOURTEENTH WARD,42.67156,-73.80883,Entire home/apt,84,3,50,15-04-2024,1.28,9,330,19
47440071,Lux Loft Suite in Historic Jesse Buel House,382970529,Thomas,THIRTEENTH WARD,42.6692,-73.79849,Private room,140,1,120,04-05-2024,2.99,11,58,37
47828453,"Secure, Safe & Sanitized 2Bd Work, Relax in Albany",299638115,Dominick And Flerida,THIRD WARD,42.656,-73.76123,Entire home/apt,,4,18,02-04-2024,0.46,3,365,3
47902629,"Renovated 2br/2ba, close to Alb Med & St. Petes.",21886921,David,THIRTEENTH WARD,42.66744,-73.79216,Entire home/apt,125,14,7,01-01-2024,0.19,2,320,1
47943571,Downtown Albany 1 Bed + Workstation @ Maiden Lane,385664127,Dillon,THIRD WARD,42.65118087,-73.75273894,Entire home/apt,100,1,137,21-04-2024,3.49,2,330,41
48052353,*The Rustic Home* 3 Bedroom Second Floor Apartment,349460842,Scott,TENTH WARD,42.66261,-73.78332,Entire home/apt,176,1,146,25-02-2024,3.72,5,339,32
48124042,Downtown Albany 2 Bedroom + Workstation @ The Mark,385664127,Dillon,THIRD WARD,42.64981845,-73.75090228,Entire home/apt,115,1,185,22-04-2024,5.53,2,233,48
48172884,The Down Under Suite,98744672,Bela,NINTH WARD,42.65399,-73.78126,Private room,45,2,56,26-04-2024,1.45,8,333,26
48470454,"/ New Giant Victorian \ 7beds 6 baths + 2x 85"" TVs",4259750,Peter,THIRTEENTH WARD,42.66526413,-73.78692627,Entire home/apt,,2,30,03-12-2023,1.37,9,321,19
49886937,VACATION TIME,219746338,Nicola,FOURTH WARD,42.65854,-73.74926,Shared room,45,1,0,,,1,358,0
50171851,Beautiful Center Square Garden-Level Unit,48490017,Todd,SIXTH WARD,42.65157,-73.76546,Entire home/apt,129,2,150,10-04-2024,4.52,1,190,56
50207226,★ RARE 1BR Apt with Character GREAT Location! W/D★,47625981,Linda,FOURTH WARD,42.65888,-73.74673,Entire home/apt,115,1,73,16-04-2024,2.06,15,76,15
50211226,Quiet Studio By Washington Park | Walkable!,105597161,Jake & Kate,ELEVENTH WARD,42.66034,-73.77163,Entire home/apt,110,2,154,16-04-2024,5.38,1,284,61
50354540,Heart of Center Square: Designer 2-Bed Retreat,188679144,Elizabeth,SIXTH WARD,42.65333,-73.76402,Entire home/apt,,3,9,13-08-2023,0.26,8,365,3
50639032,"Sunny Queen bed, Quiet w/Beautiful Garden",172539578,David Yisrael,FIFTEENTH WARD,42.67945,-73.81647,Private room,65,3,37,31-03-2024,1.16,2,83,5
50890336,"★CHIC, Renovated Brownstone★ in PRIME DT Albany",47625981,Linda,FOURTH WARD,42.65901,-73.74748,Entire home/apt,120,1,39,08-10-2023,1.16,15,353,6
51230498,"Chic-romantic, center-city, hotel-style apartment.",414738935,Sonya,THIRD WARD,42.66064,-73.76074,Entire home/apt,71,1,217,16-04-2024,6.4,1,66,55
51461480,🍃Chic & Cozy Near Washington Park Garden Suite,416799784,Rosie,TENTH WARD,42.65969,-73.77564,Entire home/apt,93,7,21,31-03-2023,0.68,1,88,0
51503537,Walk to Everything Downtown Albany! Luxury Apt!,394420519,All Seasons,THIRD WARD,42.65061,-73.75006,Entire home/apt,105,4,8,02-04-2024,0.25,1,56,1
51560588,Steps 2 Capital,392074908,Jerry,SIXTH WARD,42.65431,-73.75997,Entire home/apt,,365,42,10-09-2023,1.27,4,364,5
51579900,★MODERN 1BR GREAT Location Downtown! W/D Parking!★,47625981,Linda,FOURTH WARD,42.65856,-73.74866,Entire home/apt,115,1,67,16-04-2024,2.02,15,357,21
51592836,Lovely 1 Bedroom Unit In Historic Brownstone!,60293220,David,THIRD WARD,42.65843553,-73.74977589,Entire home/apt,90,3,75,29-04-2024,2.39,3,339,27
51710034,Empire Plaza View I,392074908,Jerry,SIXTH WARD,42.65269,-73.76076,Entire home/apt,88,2,34,03-04-2024,1.04,4,278,9
51960331,"Tuscan Garden Apt at Café Capriccio Albany, NY",418024477,Marlene,SECOND WARD,42.64684,-73.75614,Entire home/apt,125,1,83,16-04-2024,2.59,2,168,13
52152157,"Modern space, everything you could want!",152762198,Allen,FIRST WARD,42.63066,-73.77357,Entire home/apt,100,3,53,06-05-2024,1.67,9,146,14
52225409,3 bedroom single family home w/ off street parking,207800855,Iris,TWELFTH WARD,42.68553,-73.79716,Entire home/apt,137,3,43,19-02-2024,1.41,3,80,29
52241973,Garden Apartment in Historic Center Square Home,35465673,Jason,SIXTH WARD,42.65641,-73.76413,Entire home/apt,87,1,223,21-04-2024,7.17,1,54,85
52301345,Washington Park Brownstone-Large Luxury Bedroom 1,49100926,Clyde,SIXTH WARD,42.65934,-73.76966,Private room,100,2,4,16-08-2022,0.15,4,338,0
52359404,3 bedroom quiet neighborhood w/ off street parking,207800855,Iris,FIFTEENTH WARD,42.67044,-73.82573,Entire home/apt,126,1,85,16-04-2024,2.71,3,354,38
52360097,Empire Plaza View II,392074908,Jerry,SIXTH WARD,42.65386,-73.75958,Entire home/apt,88,2,69,31-03-2024,2.17,4,327,11
